service_id,doj,DOI,seats,seat_type,Booking_Channel,gmv,asp,dow,SrcId-DestId
Service1,01-09-2022,29-08-2022 20:22,1,Seater,Online Booking,653,653,Thu,A-J
Service1,01-09-2022,29-08-2022 16:41,1,Sleeper,Online Booking,818,818,Thu,A-D
Service1,01-09-2022,01-09-2022 21:32,1,Sleeper,Offline Booking,603,603,Thu,A-J
Service1,01-09-2022,01-09-2022 19:18,1,Sleeper,Online Booking,638,638,Thu,A-J
Service1,01-09-2022,01-09-2022 17:12,1,Seater,Online Booking,570,570,Thu,A-J
Service1,01-09-2022,01-09-2022 17:02,2,Seater,Online Booking,1124,562,Thu,A-J
Service1,01-09-2022,01-09-2022 15:54,1,Sleeper,Online Booking,712,712,Thu,A-J
Service1,01-09-2022,01-09-2022 15:17,1,Seater,Online Booking,566,566,Thu,A-J
Service1,01-09-2022,31-08-2022 21:36,1,Sleeper,Online Booking,870,870,Thu,B-J
Service1,01-09-2022,01-09-2022 12:34,2,Sleeper,Online Booking,1370,685,Thu,A-J
Service1,01-09-2022,31-08-2022 10:06,2,Sleeper,Online Booking,1702,851,Thu,A-J
Service1,01-09-2022,31-08-2022 12:23,1,Seater,Online Booking,700,700,Thu,A-J
Service1,01-09-2022,01-09-2022 02:09,1,Sleeper,Online Booking,879,879,Thu,A-J
Service1,01-09-2022,01-09-2022 15:00,1,Sleeper,Online Booking,712,712,Thu,A-J
Service1,01-09-2022,01-09-2022 11:13,1,Seater,Online Booking,581,581,Thu,A-J
Service1,01-09-2022,01-09-2022 12:23,1,Seater,Online Booking,582,582,Thu,A-J
Service1,01-09-2022,01-09-2022 10:34,1,Seater,Online Booking,566,566,Thu,A-J
Service1,02-09-2022,02-09-2022 19:51,3,Sleeper,Online Booking,2790,930,Fri,B-J
Service1,02-09-2022,02-09-2022 23:47,1,Sleeper,Online Booking,959,959,Fri,B-J
Service1,02-09-2022,02-09-2022 13:58,1,Sleeper,Online Booking,1052,1052,Fri,B-J
